Date,BTC
2016-10-28,695.34
2016-10-29,724.00
2016-10-30,719.89
2016-10-31,709.00
2016-11-01,746.55
2016-11-02,737.49
2016-11-03,754.66
2016-11-04,710.90
2016-11-05,713.88
2016-11-06,721.61
2016-11-08,713.44
2016-11-09,717.99
2016-11-10,743.06
2016-11-11,725.00
2016-11-12,719.37
2016-11-13,716.99
2016-11-14,706.47
2016-11-15,709.91
2016-11-16,720.05
2016-11-17,747.49
2016-11-18,763.85
2016-11-19,759.89
2016-11-20,759.99
2016-11-21,757.00
2016-11-22,740.60
2016-11-23,753.91
2016-11-24,750.91
2016-11-25,744.32
2016-11-26,741.12
2016-11-27,740.99
2016-11-28,736.19
2016-11-29,734.99
2016-11-30,734.89
2016-12-01,743.14
2016-12-02,756.00
2016-12-03,779.21
2016-12-04,774.86
2016-12-05,769.99
2016-12-06,769.00
2016-12-07,758.50
2016-12-08,774.92
2016-12-09,773.20
2016-12-10,772.72
2016-12-11,777.77
2016-12-12,773.73
2016-12-13,785.00
2016-12-14,788.87
2016-12-15,781.16
2016-12-16,780.12
2016-12-17,785.06
2016-12-18,793.00
2016-12-19,792.80
2016-12-20,792.27
2016-12-21,802.33
2016-12-22,830.50
2016-12-23,874.00
2016-12-24,920.00
2016-12-25,919.99
2016-12-26,904.55
2016-12-27,920.00
2016-12-28,940.00
2016-12-29,983.00
2016-12-30,983.00
2016-12-31,972.00
2017-01-01,968.20
2017-01-02,1006.50
2017-01-03,1035.00
2017-01-04,1040.00
2017-01-05,1150.00
2017-01-06,1166.00
2017-01-07,1025.00
2017-01-08,911.09
2017-01-09,943.60
2017-01-10,916.70
2017-01-11,918.00
2017-01-12,923.66
2017-01-13,831.18
2017-01-14,832.39
2017-01-15,838.54
2017-01-16,823.00
2017-01-17,837.97
2017-01-18,910.80
2017-01-19,913.85
2017-01-20,910.03
2017-01-21,904.99
2017-01-22,931.01
2017-01-23,939.90
2017-01-24,928.87
2017-01-25,927.34
2017-01-26,899.61
2017-01-27,917.64
2017-01-28,922.16
2017-01-29,923.99
2017-01-30,922.99
2017-01-31,920.89
2017-02-01,969.40
