Date,Value,High
2018-09-22,,6840.9
2018-09-23,,6785.9
2018-09-24,1202.75,6723.9
2018-09-25,1201.9,6602.1
2018-09-26,1194.25,6558.0
2018-09-27,1185.4,6745.0
2018-09-28,1187.25,6826.41966538
2018-09-30,,6662.8
2018-10-01,1189.35,6660.0
2018-10-02,1204.7,6644.7
2018-10-03,1201.2,6573.0
2018-10-04,1203.45,6648.8
2018-10-05,1203.8,6741.4366438
2018-10-06,,6648.2
2018-10-07,,6605.8
2018-10-08,1186.95,6730.0
2018-10-09,1185.55,6688.1
2018-10-10,1188.6,6670.0
2018-10-11,1205.55,6630.4
2018-10-12,1219.75,6353.4
2018-10-13,,6333.7
2018-10-14,,6399.3
2018-10-15,1229.95,7788.0
2018-10-16,1230.7,6897.6
2018-10-17,1229.05,6794.0
2018-10-18,1223.0,6779.9
2018-10-19,1227.85,
2018-10-20,,6611.0
2018-10-21,,6660.8
2018-10-22,1222.3,6627.9
2018-10-23,1235.95,
2018-10-24,1230.55,6626.3
2018-10-25,1230.8,6568.7
2018-10-26,1233.85,6597.4
2018-10-27,,6560.0
2018-10-29,1230.8,6512.0
2018-10-30,1225.4,6383.6
2018-10-31,1214.95,6419.8
2018-11-01,1231.15,6443.9
2018-11-02,1232.1,6456.1
2018-11-03,,6432.4
2018-11-04,,6529.4
2018-11-05,1232.25,6500.6
2018-11-06,1231.6,6519.0
2018-11-07,1229.95,6615.0
2018-11-08,1224.15,6585.0
2018-11-09,1211.4,6504.4
2018-11-10,,6469.3
2018-11-11,,6454.5
2018-11-12,1205.55,6481.0
2018-11-13,1202.1,
2018-11-14,1203.25,6485.8
2018-11-15,1211.85,5940.0
2018-11-16,1222.4,5777.5
2018-11-17,,5661.1
2018-11-18,,5745.6
2018-11-19,1221.6,5659.5
2018-11-20,1223.0,5056.26569276
2018-11-21,1226.1,4787.3
2018-11-22,1227.05,4723.7
2018-11-23,1223.65,4495.0
2018-11-24,,4529.0
2018-11-25,,4233.2
2018-11-26,1223.4,
2018-11-27,1221.2,3959.40864054
2018-11-28,1213.25,4447.6
2018-11-29,1226.25,4488.0
2018-11-30,1217.55,4368.8
2018-12-01,,4340.0
2018-12-02,,4369.8
2018-12-03,1230.3,4189.8
2018-12-04,1240.3,4135.9
2018-12-05,1235.9,4000.77105811
2018-12-06,1242.55,3922.7
2018-12-07,1243.3,3630.0
2018-12-08,,3800.1
2018-12-09,,3789.0
2018-12-10,1245.35,3709.7
2018-12-11,1245.3,3551.5
2018-12-12,1245.75,3617.4
2018-12-13,1242.75,3547.1
2018-12-14,1235.35,3395.2
2018-12-15,,3324.2
2018-12-16,,3383.0
2018-12-17,1241.65,3744.8
2018-12-18,1246.3,3799.9
2018-12-19,1255.0,4043.0
2018-12-20,1259.75,4299.0
2018-12-21,1258.15,4300.0
2018-12-22,,4166.0
2018-12-23,,4216.0
2018-12-24,1258.15,4384.0
2018-12-25,1258.15,4155.0
2018-12-26,1258.15,3990.0
2018-12-27,1268.0,3968.8
2018-12-28,1279.0,4095.0
2018-12-29,,4099.7
2018-12-30,,4003.8
2018-12-31,1279.0,3986.9
2019-01-01,1279.0,3987.0
2019-01-02,1282.9,4083.470676
2019-01-03,1290.45,
2019-01-04,1279.9,3986.0
2019-01-05,,4014.9
2019-01-06,,4218.0
2019-01-07,1292.2,4197.0
2019-01-08,1286.45,
2019-01-09,1288.6,4168.9
2019-01-10,1291.9,
2019-01-11,1288.95,3777.8
2019-01-12,,3734.0
2019-01-13,,3729.0
2019-01-14,1292.75,3799.4
2019-01-15,1294.4,3780.87473393
2019-01-16,1292.3,3759.89484429
2019-01-17,1290.7,3725.0
2019-01-18,1284.2,3723.9
2019-01-19,,3882.0
2019-01-20,,3796.9
2019-01-21,1279.55,3620.1
2019-01-22,1282.1,3682.14145688
2019-01-23,1279.8,3677.0
2019-01-24,1283.7,3671.4
2019-01-25,1293.9,3663.5
2019-01-26,,3750.0
2019-01-27,,3645.7
2019-01-28,1302.15,3597.9
2019-01-29,1307.55,3517.5
2019-01-30,1310.7,3550.0
2019-01-31,1323.25,3574.80983774
2019-02-01,1318.7,3559.0
2019-02-02,,3572.0
2019-02-03,,3566.8
2019-02-04,1312.15,3522.7
2019-02-05,1314.2,3517.5
2019-02-06,1312.4,3520.99742772
2019-02-07,1310.0,3462.3
2019-02-08,1314.85,3800.0
2019-02-09,,3740.0
2019-02-10,,3748.0
2019-02-11,1306.4,3750.0
2019-02-12,1310.0,3728.0
2019-02-13,1312.8,3742.39039255
2019-02-14,1311.45,3682.87483504
2019-02-15,1316.55,3719.0
2019-02-16,,3726.7
2019-02-17,,3790.0
2019-02-18,1325.5,4021.0
2019-02-19,1334.15,4083.5
2019-02-20,1343.75,4070.0
2019-02-21,1331.25,4145.0
2019-02-22,1329.05,4074.0
2019-02-23,,4255.0
2019-02-25,1331.05,3966.5
2019-02-26,1325.05,3934.1
2019-02-27,1322.85,3934.0
2019-02-28,1319.15,3988.0
2019-03-01,1311.95,3949.0
2019-03-02,,3924.0
2019-03-03,,3925.0
2019-03-04,1285.4,3911.1
2019-03-05,1283.8,3968.7
2019-03-06,1285.85,3986.5
2019-03-07,1285.3,3997.4
2019-03-08,1296.75,4021.0
2019-03-09,,4046.2
2019-03-10,,4017.2
2019-03-11,1292.75,4009.2
2019-03-12,1297.05,3979.5
2019-03-13,1306.95,3972.6
2019-03-14,1295.55,4004.0
2019-03-15,1303.5,4011.0
2019-03-16,,4166.8
2019-03-17,,4089.9
2019-03-18,1305.6,4120.0
2019-03-19,1307.7,4120.0
2019-03-20,1303.7,4134.2
2019-03-21,1309.6,4146.9
2019-03-22,1311.3,4070.6
2019-03-23,,4084.0
2019-03-24,,4064.8
2019-03-25,1319.55,4049.9
2019-03-26,1316.3,3992.0
2019-03-27,1309.7,4106.1
2019-03-28,1295.15,4114.4
2019-03-29,1295.4,4197.2
2019-03-30,,4210.0
2019-03-31,,4182.9
2019-04-01,1293.5,4224.6
2019-04-02,1290.3,5106.9060781
2019-04-03,1290.45,5335.5
2019-04-04,1283.15,5100.0
2019-04-05,1288.45,5132.5
2019-04-06,,5280.0
2019-04-07,,5321.6
2019-04-08,1300.0,5373.9
2019-04-09,1303.0,5336.2
2019-04-10,1305.45,5488.0
2019-04-11,1298.8,5342.1
2019-04-12,1294.3,5134.9
2019-04-13,,5163.0
2019-04-14,,5210.0
2019-04-15,1285.65,5218.6
2019-04-16,1276.35,5256.7
2019-04-17,1275.85,5300.0
2019-04-18,1275.7,5340.0
2019-04-19,1275.7,5376.0
2019-04-20,,5404.84614183
2019-04-21,,5368.0
2019-04-22,1275.7,5459.5
2019-04-23,1269.5,5647.4
2019-04-24,1271.65,5690.0
2019-04-25,1280.8,5558.0
2019-04-26,1284.2,5525.0
2019-04-27,,5458.0
2019-04-28,,5545.7
2019-04-29,1279.5,5518.0
2019-04-30,1282.3,5612.0
2019-05-01,1283.8,5655.0
2019-05-02,1270.95,5784.3
2019-05-03,1278.55,6150.0
2019-05-04,,6189.9903581
2019-05-05,,6148.0
2019-05-06,1278.55,6102.0
2019-05-07,1281.2,6325.0
2019-05-08,1285.2,6240.0
2019-05-09,1286.1,6344.0
2019-05-10,1287.1,6522.2
2019-05-11,,7243.0
2019-05-12,,7448.0
2019-05-13,,8050.0
2019-05-14,,8194.1
2019-05-15,,8199.9
2019-05-16,,8352.3
2019-05-17,,7910.0
2019-05-18,,7518.0
